,From,To,From_Table,To_Table,Weight,Rental price,Transportation_distance,Type,price,profit_margin (%),market_share (%),Annual_sales,Edge_Name
37,1618,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
38,1171,1619,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
39,1619,1227,Ssintship,Supplier,20,0,0,0,0.0,0,16,6.18,ssintship
40,1135,1620,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
41,1620,1240,Ssintship,Supplier,20,0,0,0,0.0,0,14,69.92,ssintship
42,1019,1621,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
43,1621,1184,Ssintship,Supplier,35,0,0,0,0.0,0,100,658.93,ssintship
44,1113,1622,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
45,1622,1288,Ssintship,Supplier,20,0,0,0,0.0,0,21,5.62,ssintship
46,1029,1623,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
47,1623,1052,Ssintship,Supplier,20,0,0,0,0.0,0,33,5.35,ssintship
48,1079,1624,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
49,1624,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
50,1105,1625,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
51,1625,1035,Ssintship,Supplier,35,0,0,0,0.0,0,55,548.43,ssintship
52,1081,1626,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
53,1626,1019,Ssintship,Supplier,35,0,0,0,0.0,0,69,48.46,ssintship
54,1030,1627,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
55,1627,1063,Ssintship,Supplier,20,0,0,0,0.0,0,46,180.97,ssintship
56,1275,1628,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
57,1628,1126,Ssintship,Supplier,40,0,0,0,0.0,0,82,8203.36,ssintship
58,1052,1629,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
59,1629,1138,Ssintship,Supplier,20,0,0,0,0.0,0,4,1.49,ssintship
60,1175,1630,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
61,1630,1243,Ssintship,Supplier,20,0,0,0,0.0,0,24,74.83,ssintship
62,1288,1631,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
63,1631,1070,Ssintship,Supplier,35,0,0,0,0.0,0,64,649.86,ssintship
64,1219,1632,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
65,1632,1094,Ssintship,Supplier,20,0,0,0,0.0,0,38,30.38,ssintship
66,1063,1633,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
67,1633,1111,Ssintship,Supplier,20,0,0,0,0.0,0,10,792.86,ssintship
68,1067,1634,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
69,1634,1124,Ssintship,Supplier,35,0,0,0,0.0,0,96,734.96,ssintship
70,1219,1635,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
71,1635,1288,Ssintship,Supplier,20,0,0,0,0.0,0,21,5.62,ssintship
72,1103,1636,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
73,1636,1047,Ssintship,Supplier,35,0,0,0,0.0,0,90,423.94,ssintship
74,1262,1637,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
75,1637,1116,Ssintship,Supplier,40,0,0,0,0.0,0,85,9611.85,ssintship
76,1253,1638,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
77,1638,1223,Ssintship,Supplier,40,0,0,0,0.0,0,79,5862.41,ssintship
78,1172,1639,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
79,1639,1233,Ssintship,Supplier,40,0,0,0,0.0,0,77,2034.12,ssintship
80,1249,1640,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
81,1640,1158,Ssintship,Supplier,20,0,0,0,0.0,0,2,31.2,ssintship
82,1279,1641,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
83,1641,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
84,1213,1642,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
85,1642,1072,Ssintship,Supplier,35,0,0,0,0.0,0,86,76.43,ssintship
86,1175,1643,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
87,1643,1288,Ssintship,Supplier,20,0,0,0,0.0,0,21,5.62,ssintship
88,1159,1644,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
89,1644,1048,Ssintship,Supplier,35,0,0,0,0.0,0,97,1080.19,ssintship
90,1021,1645,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
91,1645,1171,Ssintship,Supplier,35,0,0,0,0.0,0,83,64.48,ssintship
92,1043,1646,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
93,1646,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
94,1021,1647,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
95,1647,1094,Ssintship,Supplier,20,0,0,0,0.0,0,38,30.38,ssintship
96,1006,1648,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
97,1648,1296,Ssintship,Supplier,20,0,0,0,0.0,0,42,6.51,ssintship
98,1062,1649,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
99,1649,1067,Ssintship,Supplier,35,0,0,0,0.0,0,97,168.81,ssintship
100,1003,1650,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
101,1650,1067,Ssintship,Supplier,35,0,0,0,0.0,0,97,168.81,ssintship
102,1106,1651,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
103,1651,1067,Ssintship,Supplier,35,0,0,0,0.0,0,97,168.81,ssintship
104,1072,1652,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
105,1652,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
106,1135,1653,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
107,1653,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
108,1130,1654,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
109,1654,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
110,1005,1655,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
111,1655,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
112,1174,1656,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
113,1656,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
114,1170,1657,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
115,1657,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
116,1094,1658,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
117,1658,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
118,1111,1659,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
119,1659,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
120,1113,1660,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
121,1660,1130,Ssintship,Supplier,35,0,0,0,0.0,0,81,40.9,ssintship
122,1029,1661,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
123,1661,1130,Ssintship,Supplier,35,0,0,0,0.0,0,81,40.9,ssintship
124,1116,1662,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
125,1662,1156,Ssintship,Supplier,35,0,0,0,0.0,0,55,8.34,ssintship
126,1063,1663,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
127,1663,1156,Ssintship,Supplier,35,0,0,0,0.0,0,55,8.34,ssintship
128,1249,1664,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
129,1664,1156,Ssintship,Supplier,35,0,0,0,0.0,0,55,8.34,ssintship
130,1188,1665,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
131,1665,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
132,1264,1666,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
133,1666,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
134,1230,1667,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
135,1667,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
136,1041,1668,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
137,1668,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
138,1267,1669,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
139,1669,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
140,1227,1670,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
141,1670,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
142,1056,1671,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
143,1671,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
144,1207,1672,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
145,1672,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
146,1011,1673,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
147,1673,1193,Ssintship,Supplier,40,0,0,0,0.0,0,66,7028.92,ssintship
148,1172,1674,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
149,1674,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
150,1114,1675,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
151,1675,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
152,1062,1676,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
153,1676,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
154,1029,1677,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
155,1677,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
156,1070,1678,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
157,1678,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
158,1159,1679,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
159,1679,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
160,1041,1680,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
161,1680,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
162,1246,1681,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
163,1681,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
164,1035,1682,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
165,1682,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
166,1123,1683,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
167,1683,1259,Ssintship,Supplier,35,0,0,0,0.0,0,96,19.24,ssintship
168,1119,1684,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
169,1684,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
170,1259,1685,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
171,1685,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
172,1125,1686,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
173,1686,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
174,1135,1687,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
175,1687,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
176,1138,1688,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
177,1688,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
178,1243,1689,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
179,1689,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
180,1184,1690,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
181,1690,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
182,1209,1691,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
183,1691,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
184,1114,1692,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
185,1692,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
186,1135,1693,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
187,1693,1213,Ssintship,Supplier,35,0,0,0,0.0,0,95,55.4,ssintship
188,1259,1694,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
189,1694,1213,Ssintship,Supplier,35,0,0,0,0.0,0,95,55.4,ssintship
190,1030,1695,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
191,1695,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
192,1079,1696,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
193,1696,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
194,1072,1697,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
195,1697,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
196,1297,1698,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
197,1698,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
198,1207,1699,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
199,1699,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
200,1208,1700,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
201,1700,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
202,1275,1701,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
203,1701,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
204,1249,1702,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
205,1702,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
206,1104,1703,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
207,1703,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
208,1135,1704,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
209,1704,1043,Ssintship,Supplier,20,0,0,0,0.0,0,43,518.82,ssintship
210,1172,1705,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
211,1705,1052,Ssintship,Supplier,20,0,0,0,0.0,0,33,5.35,ssintship
212,1171,1706,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
213,1706,1052,Ssintship,Supplier,20,0,0,0,0.0,0,33,5.35,ssintship
214,1103,1707,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
215,1707,1052,Ssintship,Supplier,20,0,0,0,0.0,0,33,5.35,ssintship
216,1239,1708,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
217,1708,1052,Ssintship,Supplier,20,0,0,0,0.0,0,33,5.35,ssintship
218,1240,1709,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
219,1709,1052,Ssintship,Supplier,20,0,0,0,0.0,0,33,5.35,ssintship
220,1113,1710,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
221,1710,1104,Ssintship,Supplier,25,0,0,0,0.0,0,44,7903.53,ssintship
222,1008,1711,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
223,1711,1104,Ssintship,Supplier,25,0,0,0,0.0,0,44,7903.53,ssintship
224,1123,1712,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
225,1712,1104,Ssintship,Supplier,25,0,0,0,0.0,0,44,7903.53,ssintship
226,1094,1713,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
227,1713,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
228,1165,1714,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
229,1714,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
230,1230,1715,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
231,1715,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
232,1074,1716,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
233,1716,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
234,1047,1717,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
235,1717,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
236,1056,1718,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
237,1718,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
238,1116,1719,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
239,1719,1062,Ssintship,Supplier,35,0,0,0,0.0,0,77,40.24,ssintship
240,1043,1720,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
241,1720,1019,Ssintship,Supplier,35,0,0,0,0.0,0,69,48.46,ssintship
242,1075,1721,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
243,1721,1019,Ssintship,Supplier,35,0,0,0,0.0,0,69,48.46,ssintship
244,1207,1722,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
245,1722,1019,Ssintship,Supplier,35,0,0,0,0.0,0,69,48.46,ssintship
246,1172,1723,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
247,1723,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
248,1193,1724,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
249,1724,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
250,1200,1725,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
251,1725,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
252,1089,1726,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
253,1726,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
254,1052,1727,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
255,1727,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
256,1050,1728,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
257,1728,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
258,1116,1729,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
259,1729,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
260,1097,1730,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
261,1730,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
262,1035,1731,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
263,1731,1171,Ssintship,Supplier,35,0,0,0,0.0,0,83,64.48,ssintship
264,1288,1732,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
265,1732,1171,Ssintship,Supplier,35,0,0,0,0.0,0,83,64.48,ssintship
266,1106,1733,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
267,1733,1171,Ssintship,Supplier,35,0,0,0,0.0,0,83,64.48,ssintship
268,1043,1734,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
269,1734,1171,Ssintship,Supplier,35,0,0,0,0.0,0,83,64.48,ssintship
270,1011,1735,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
271,1735,1171,Ssintship,Supplier,35,0,0,0,0.0,0,83,64.48,ssintship
272,1207,1736,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
273,1736,1171,Ssintship,Supplier,35,0,0,0,0.0,0,83,64.48,ssintship
274,1171,1737,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
275,1737,1125,Ssintship,Supplier,35,0,0,0,0.0,0,89,7.79,ssintship
276,1035,1738,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
277,1738,1125,Ssintship,Supplier,35,0,0,0,0.0,0,89,7.79,ssintship
278,1227,1739,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
279,1739,1125,Ssintship,Supplier,35,0,0,0,0.0,0,89,7.79,ssintship
280,1209,1740,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
281,1740,1125,Ssintship,Supplier,35,0,0,0,0.0,0,89,7.79,ssintship
282,1184,1741,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
283,1741,1125,Ssintship,Supplier,35,0,0,0,0.0,0,89,7.79,ssintship
284,1174,1742,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
285,1742,1125,Ssintship,Supplier,35,0,0,0,0.0,0,89,7.79,ssintship
286,1011,1743,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
287,1743,1172,Ssintship,Supplier,40,0,0,0,0.0,0,98,1698.49,ssintship
288,1070,1744,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
289,1744,1172,Ssintship,Supplier,40,0,0,0,0.0,0,98,1698.49,ssintship
290,1174,1745,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
291,1745,1011,Ssintship,Supplier,20,0,0,0,0.0,0,6,450.56,ssintship
292,1246,1746,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
293,1746,1011,Ssintship,Supplier,20,0,0,0,0.0,0,6,450.56,ssintship
294,1075,1747,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
295,1747,1011,Ssintship,Supplier,20,0,0,0,0.0,0,6,450.56,ssintship
296,1052,1748,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
297,1748,1011,Ssintship,Supplier,20,0,0,0,0.0,0,6,450.56,ssintship
298,1067,1749,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
299,1749,1011,Ssintship,Supplier,20,0,0,0,0.0,0,6,450.56,ssintship
300,1249,1750,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
301,1750,1011,Ssintship,Supplier,20,0,0,0,0.0,0,6,450.56,ssintship
302,1117,1751,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
303,1751,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
304,1246,1752,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
305,1752,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
306,1239,1753,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
307,1753,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
308,1130,1754,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
309,1754,1051,Ssintship,Supplier,20,0,0,0,0.0,0,52,8.58,ssintship
310,1264,1755,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
311,1755,1089,Ssintship,Supplier,35,0,0,0,0.0,0,79,629.46,ssintship
312,1159,1756,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
313,1756,1089,Ssintship,Supplier,35,0,0,0,0.0,0,79,629.46,ssintship
